regin_d,dstnc_b,white,black,hispanic,bagrad,median_hh_income,own_occupied,rent_occupied,occupied,median_rent,median_rent_inc_pct,region_id,trt,buffer_500,buffer_1000,buffer_1500,buffer_2000,overlap_weights_full_sample,total_land_assessed_value,total_improvement_assessed_value,total_assessed_value,avg_lot_size,avg_year_built,avg_effective_year_built,avg_sqfeet,avg_bedrooms,property_count,no_of_buildings,total_nlcd_area_m2,water_m2,total_nlcd_area_acre,total_improvement_assessed_value_per_acre,total_assessed_value_per_acre,total_land_assessed_value_per_acre,property_count_per_acre,no_of_buildings_per_acre,avg_log_land_assessed_value,avg_log_improvement_assessed_value,avg_log_assessed_value,avg_log_improvement_assessed_value_per_acre,avg_log_assessed_value_per_acre,avg_log_land_assessed_value_per_acre,no_buildings,no_buildings_per_area,overlap_weights_zsample.x,avg_log_sales_price_amount,total_sales_price_amount,avg_sales_price_amount,sales_count,avg_log_sales_price_amount_per_acre,total_sales_price_amount_per_acre,sales_count_per_acre,overlap_weights_zsample.y,tot_BldgClaim_bldg_weighted,tot_BldgCoverage_bldg_weighted,tot_BldgClmCount_bldg_weighted,tot_policyCount_bldg_weighted,tot_area,tot_bldg,tot_claims_per_policy,tot_claims_per_1000_coverage,tot_claims_per_acre,tot_claims_per_bldg,tot_no_policies_per_bldg,tot_bldg_per_acre,tot_coverage_per_bldg,tot_coverage_per_acre,barrier,barrier_type
37672,0,0.8518518518518519,0.010101010101010102,0.018518518518518517,0.14393939393939395,63889,0.6890380313199105,0.2595078299776286,0.9485458612975392,807,19.1,37672,0,1,0,0,0,0.003418037,1549376,1190130,2739506,7.311909090909091,1996,2000.857142857143,2986.1428571428573,3.142857142857143,22,8,2218450.588235293,1195295.2941176472,252.83190472941143,4707.198647550887,10835.286009223812,6128.087361672928,0.08701433477529304,0.03164157628192474,10.74924072043509,3.8216354150829974,11.11636846069034,0.01511532106350672,0.04396742757836446,0.04251536502855231,6,0.02373118221144355,0.00421341498607935,12.179799026724746,775000,258333.33333333337,9,0.04817350500032796,3065.277702311459,0.03559677331716533,0.00421341498607935,78951.94999999998,522092.3076923076,2.4615384615384612,24.46153846153846,2199311.268363919,2,3227.5954402515717,151.2222050330033,145.2733129975815,39475.97499999999,12.23076923076923,0.00368004369740282,261046.1538461538,960.6612531927872,0,NA
37672,500,0.8518518518518519,0.010101010101010102,0.018518518518518517,0.14393939393939395,63889,0.6890380313199105,0.2595078299776286,0.9485458612975392,807,19.1,37672,0,0,1,0,0,0.003418037,1094820,752662,1847482,5.343863636363636,1973.4,1996.8,3362.4,2.8,23,9,3711172.9411764736,2121370.588235295,392.85605943529464,1915.8721926852888,4702.694423641159,2786.822230955871,0.05854561600261689,0.02290915408798052,9.402605553334954,2.6545317748120967,9.584996485782687,0.00675700860673452,0.02439824015839416,0.02393397104998354,12,0.03054553878397403,0.00421341498607935,NA,NA,NA,NA,NA,NA,NA,NA,197379.875,1305230.7692307692,6.153846153846154,61.15384615384616,3622866.339776487,5,3227.595440251572,151.2222050330033,220.47544975662237,39475.975,12.230769230769232,0.00558505394120404,261046.15384615384,1457.956850374619,0,NA
37672,1000,0.954164129612679,0.021967345546792003,0.0032018752834855734,0.2192685517137551,82449.68996787252,0.7737094860452847,0.04183081826499625,0.815540304310281,807,19.1,37672,0,0,0,1,0,0.003418037,820267,329321,1149588,5.119105263157895,1999.6666666666667,2002,2244.6666666666665,3,19,3,5252897.647058808,3393236.4705882375,459.5408733176427,716.6304873437614,2501.6011996943407,1784.970712350579,0.04134561494569574,0.00652825499142564,10.31716198134131,1.7413644457378732,10.43641004540082,0.00378935704492647,0.02271051532381754,0.02245102140067942,1,0.00217608499714188,0.00421341498607935,11.521252710437436,439500,219750,6,0.02507122517146313,956.3893562438568,0.01305650998285128,0.00421341498607935,39475.975,261046.15384615387,1.2307692307692308,12.230769230769232,5026309.4885497345,1,3227.5954402515717,151.2222050330033,31.782885136299768,39475.975,12.230769230769232,8.051196996730232e-4,261046.15384615387,210.1734009854132,0,NA
37672,1500,0.8994700061406958,0.012526866865550863,0.027045425282617906,0.24237441797639359,79178.04885455014,0.7701481725749818,0.13074678014542965,0.9008949527204115,951.1270152865999,19.908358195890344,37672,0,0,0,0,1,0.003418037,100597,111113,211710,1.9236666666666664,2000,2000,1716,3,3,1,6790129.4117647335,4122988.235294125,659.077256117652,168.58873367064754,321.221826477665,152.63309280701745,0.0045518184281942,0.00151727280939806,9.804573917117764,3.872770660096687,10.200663333255566,0.00587604961959931,0.01547718911337253,0.01487621341217629,2,0.00303454561879613,0.00421341498607935,11.660056706722989,525000,175000,5,0.01769148699715037,796.5682249339858,0.00758636404699034,0.00421341498607935,0,0,0,0,6252748.41125038,0,NA,NA,0,NA,NA,0,NA,0,0,NA
44185,0,0.9804453164330545,0.012959741764004452,0.025454756360351716,0.4581593973899489,107542.30413179642,0.66811981493129,0.18208491008934705,0.850204725020637,1165.8362972671034,31.562386254900616,44185,0,1,0,0,0,0.007032444,72424350,112684800,185109150,0.7428484848484849,1966.6274509803925,NA,3893.767515923567,2.970873786407767,330,342,2519301.1764705833,884279.9999999997,404.0300829176459,278902.00449001894,458156.84976539505,179254.8452753761,0.8167708642310786,0.8464716229303905,10.3274045223621,12.202306693888668,13.017883706275764,0.03020148055751552,0.03222008522798343,0.02556097914240497,482,1.192980474422363,0.00703760542408237,12.661015034479671,186146312,390243.8406708595,598,0.0313368127022868,460723.891289903,1.480087808515712,0.00703760542408237,44317.90522640267,700948.3181800055,2.8759022211588308,118.21366690592974,1769995.1408753549,170,374.8966290138796,63.22563886232439,101.32505067340232,260.69356015530985,0.6953745112113514,0.3886749278081026,4123.225401058856,1602.594335093086,0,NA
44185,500,0.9197131214763494,0.007847148249109082,0.03894105532127649,0.35852329467535077,94672.354258425,0.66887581758322,0.20064681413737825,0.8695226317205981,1282.4296137816884,32.72907513302433,44185,0,0,1,0,0,0.007032444,152840800,211072230,363913030,0.6907637906647808,1946.9923312883436,NA,3852.519765739385,3.0381426202321724,732,773,4011462.3529411783,666963.5294117649,826.4591042823533,255393.43556906213,440327.9340917902,184934.498522728,0.8857062572208266,0.9353154874749986,10.912019804306944,12.144877472863142,12.938606146567988,0.01469507373073107,0.01565547052422283,0.0132033390978036,1154,1.3963183344710846,0.00703760542408237,12.55682383769948,306589043,356498.88720930234,1095,0.01519352109818314,370966.9860388594,1.3249294421541054,0.00703760542408237,116688.48276021784,1875711.146405912,7.838445657550184,334.54855746056535,1703316.3124959504,438,348.7938601378438,62.210262483009174,277.23136713001173,266.41206109638773,0.763809491919099,1.0406111719908566,4282.445539739525,4456.360672095364,0,NA
44185,1000,0.9466326217803644,0.014301352304298846,0.03025593546993512,0.39760159869213446,94055.7368275874,0.657235873155603,0.20380107022495908,0.861036943380562,1134.3724529210047,32.326840783925164,44185,0,0,0,1,0,0.007032444,85507500,191596100,277103600,1.3314841849148418,1969.849315068493,NA,5786.961009174312,2.9453125,462,479,5551242.352941176,1299342.3529411757,1050.687009,182353.16355757855,263735.6297606988,81382.46620312025,0.43971229875556594,0.4558921885366149,10.54827233554306,12.321133040585844,12.971925656867848,0.01172673968084233,0.01234613690447546,0.01003940492762203,540,0.5139494401039082,0.00703760542408237,12.590495560007378,159764924,365594.79176201375,579,0.0119831076735121,152057.58007045084,0.5510680107780794,0.00703760542408237,66459.46830070225,1832005.8242192992,8.700984126784242,119.60093989459833,1123911.639239658,172,555.6768062129906,36.27688701755282,239.29541253025025,386.3922575622224,0.6953543017127809,0.6193069551651549,10651.196652437786,6596.3601676865355,0,NA
44185,1500,0.9169217018031931,0.013675772628957953,0.03259130877305299,0.35769400051183137,80877.67694170066,0.6167999293213962,0.2515079642933805,0.8683078936147767,1132.3635963239824,31.20748826647387,44185,0,0,0,0,1,0.007032444,39476600,110159840,149636440,1.261302325581395,1973.645283018868,NA,6996.444444444444,3.4595744680851066,282,298,7091297.647058826,1527539.9999999995,1374.8601521647065,80124.39652611519,108837.57141728095,28713.174891165778,0.2051117704997074,0.21674931776210213,8.941489299522656,12.160834015634192,12.804226807959248,0.00884514253794253,0.00931311216475297,0.00650356276996198,382,0.2778464408896745,0.00703760542408237,12.439426556280855,90368991,320457.41489361704,349,0.00904777590411292,65729.58773858908,0.25384399966098536,0.00703760542408237,3103.237377652269,60436.5910889198,0.2884141405873418,6.565882695333459,1419050.2944897043,13,472.6306456644161,51.34699561539638,8.849666176517564,238.710567511713,0.5050678996410353,0.03707278763887707,4648.968545301523,172.3502236197826,0,NA
44269,0,0.826119019216047,0.027466012228382148,9.874701008751438e-4,0.40337522215022487,110809.31016248796,0.6931757762669024,0.05181249465421066,0.744988270921113,NA,NA,44269,0,1,0,0,0,0.002938647,31255200,42348000,73603200,0.7225568181818182,1981.0058139534883,NA,3247.1046511627906,2.5,176,172,1488900.0000000016,193754.11764705885,320.0434989882357,132319.5132345327,229978.73799244253,97659.22475790983,0.5499252462755679,0.5374269452238505,12.03393198836656,12.086519509474243,12.87916760125709,0.03776523987421637,0.04024192849400921,0.03760092620662452,184,0.5749218483790028,0.0045012938442153,12.411533913175251,71112813,298793.3319327731,305,0.03878077184011627,222197.33637712165,0.952995455193456,0.0045012938442153,0,0,0,0,362038.315979793,0,NA,NA,0,NA,NA,0,NA,0,1,barrier
44269,500,0.888009653575377,0.017754396066327918,2.750826158958888e-4,0.430708592874134,102392.76073994528,0.6714887016253752,0.1086544732232949,0.7801431748486701,NA,24.4,44269,0,0,1,0,0,0.002938647,37987900,38970100,76958000,1.6574436090225564,1980.878048780488,NA,3735.595238095238,2.661290322580645,133,129,2336932.9411764704,489741.1764705882,456.45955697647054,85374.70495334337,168597.631101778,83222.92614843464,0.2913730208235203,0.28260992245288813,12.332440687825152,12.08539304754338,13.07903080171097,0.02647637203084425,0.0286532083769804,0.02701759772434968,137,0.3001361191941525,0.0045012938442153,12.59376805363802,62612270,386495.4938271605,229,0.02759010707773876,137169.37030464568,0.5016873817186929,0.0045012938442153,9652.701937984497,198720.93023255817,0.813953488372093,27.67441860465116,567787.3297339984,5,348.79511204481787,48.57415837721864,68.7975350785111,1930.540387596899,5.534883720930233,0.03563641326569138,39744.186046511626,1416.3402388620132,1,barrier
44269,1000,0.8994200967805894,0.01586745749872497,6.830906824473841e-4,0.4372594483308629,104872.26413530756,0.6788398559244316,0.10919365942264285,0.7880335153470744,NA,24.4,44269,0,0,0,1,0,0.002938647,149251000,124799150,274050150,1.009542857142857,1973.921052631579,NA,3954.4537313432834,2.9171597633136095,354,361,3176809.4117647097,641710.5882352936,626.448270282354,199217.00788438652,437466.5283639136,238249.52047952707,0.5650905538304773,0.5762646608271252,12.461308969459632,12.34343421190545,13.280815873759618,0.01970383636998789,0.02120017965373847,0.01989199996328994,379,0.6049980788185054,0.0045012938442153,12.722079215688272,195359544,492089.5314861461,543,0.02030826776799009,311852.6353531907,0.8667914427399696,0.0045012938442153,52124.59046511628,1073093.023255814,4.395348837209302,149.4418604651163,777027.2626172756,27,348.79511204481787,48.57415837721865,271.46639675916356,1930.540387596899,5.534883720930233,0.14061679232573834,39744.186046511626,5588.699955457832,1,barrier
44269,1500,0.8953889549986793,0.01508622486408159,0.004448810241391986,0.4666717659300134,111600.3928077605,0.6141493029124574,0.09446341909892964,0.708612722011387,1236,28.003842715030476,44269,0,0,0,0,1,0.002938647,146365900,141671900,288037800,0.7120982142857143,1957.1309255079009,NA,3500.8810068649886,2.8640552995391704,464,481,4104448.2352941246,1581540.000000002,623.4358540235305,227243.7478301542,462016.73859637935,234772.99076622512,0.7442626166035152,0.77153085902217855,12.022518155470223,12.2290879057572,13.175298702488645,0.0196156313866665,0.02113336699751529,0.01928429056153779,514,0.8244633295995837,0.0045012938442153,12.558993265591008,221875040,404143.970856102,750,0.02014480428826441,355890.7280806242,1.2030106949410269,0.0045012938442153,15444.323100775193,317953.48837209295,1.3023255813953487,44.279069767441854,609149.7450350936,8,348.7951120448179,48.57415837721865,102.60168453589942,1930.5403875968989,5.534883720930232,0.05314661386784874,39744.18604651162,2112.268909305895,1,barrier
44273,0,0.7117863682672942,0.1286645131905445,0.18371889293139615,0.20878397283363626,57210.121614826356,0.4069089884971248,0.5046479611364035,0.9115569496335283,1111.4855293997136,35.796659018303366,44273,0,1,0,0,0,3.41e-18,136779900,366851380,503631280,0.20446180555555557,1923.3297297297297,NA,4021.30603060306,3.8882733148661126,1152,1143,2468096.4705882324,995724.7058823524,363.83778677647,1008282.793412498,1384219.282065429,375936.4886529311,3.1662461730720426,3.141509874844917,10.59406057342546,12.158050599218086,12.633756106970823,0.03341612949808205,0.03472359542119958,0.02911753797560917,1425,3.9165805526281776,3.773293411554261e-18,12.076166622818986,414271881,234316.6747737557,2169,0.03319107322472305,1138616.9772809085,5.961447872737205,3.773293411554261e-18,49216.48847826087,737671.7391304348,2.9782608695652173,12.869565217391305,485378.9768347115,16,3824.2541722972974,66.71868511091006,410.3357364618037,3076.0305298913045,0.8043478260869565,0.13339781009140486,46104.483695652176,6150.237160394881,0,NA
44273,500,0.7281259675718944,0.10524658689643203,0.2299838845124723,0.23419360564927266,55289.359784127446,0.46436504551144164,0.46511762472301643,0.9294826702344581,1061.066471402179,33.688509094666315,44273,0,0,1,0,0,3.41e-18,188225300,435231000,623456300,0.2058567335243553,1926.797177208573,NA,4051.402088772846,3.9199122325836537,2101,2039,3925584.7058823537,1450249.411764705,611.6801045294121,711533.6869340211,1019252.212689912,307718.525755891,3.4348019241468974,3.333441753134471,10.772531832976302,11.542729001488295,12.235254417850792,0.01887053202485397,0.02000270129312742,0.01761138175527877,2329,3.8075457788377554,3.773293411554261e-18,11.748957187907486,660692187,186162.91546914625,4309,0.01920768241587061,1080126.984853128,7.044531885363627,3.773293411554261e-18,265885.68217391305,1742926.0869565215,7.173913043478261,43.04347826086957,789269.793709509,50,6177.14211111111,152.5513239854019,1363.261432831784,5317.7136434782615,0.8608695652173914,0.2563623249070044,34858.52173913043,8936.411675864832,0,NA
44273,1000,0.6654631309046669,0.12275192667877248,0.3473387142361079,0.16715117310716754,55459.116272993066,0.5628872011795121,0.3691799977852991,0.9320671989648112,1069.8522235179287,37.40008825538148,44273,0,0,0,1,0,3.41e-18,152519000,345948600,498467600,0.2601766917293233,1935.637180373186,NA,4372.925342465754,3.5541984732824425,1679,1602,5462343.529411776,2397370.5882352935,757.3854634941206,456766.8864464357,658142.5496343309,201375.6631878953,2.216836843229212,2.1151713060471695,10.381187517924786,11.24410472639632,12.111777311280711,0.01484594736545746,0.01599156294260555,0.01370661046230308,1744,2.3026584005906767,3.773293411554261e-18,11.72291357262141,558001129,215527.66666666663,3207,0.01547813384024951,736746.5523113142,4.234303607049484,3.773293411554261e-18,1131963.878847826,4252567.173913043,16.42282608695652,103.06195652173912,1799819.0635094994,56,10983.333880422288,266.18365626103395,2545.1501032025085,20213.64069371118,1.840392080745341,0.12591250343112856,75938.69953416148,9561.631765650547,0,NA
44273,1500,0.6261728641004477,0.12389361251884726,0.38939225469267996,0.16486263548450547,62306.85371937954,0.5701111202439609,0.37959063935805765,0.9497017596020186,1055.7784226726787,30.34164421581273,44273,0,0,0,0,1,3.41e-18,91004800,201351983,292356783,0.3418346253229974,1950.8718220338983,NA,3110.7361111111113,3.014238773274918,976,958,7000800.000000007,2122545.8823529417,1205.4653750117664,167032.57279209254,242526.07255280673,75493.49976071417,0.8096458183135069,0.794713825762643,8.965506405102328,11.808130890233604,12.275268862177375,0.00979549569403297,0.01018301240054909,0.00743738193642834,967,0.8021798220380749,3.773293411554261e-18,11.792085171293984,297175477,183895.71596534652,1959,0.0097821848853841,246523.44493685628,1.6250985226190164,3.773293411554261e-18,495524.0855,1978535,8.425,14.025,1976357.8131254716,26,35331.485597147956,250.44999734652157,1014.6327425261852,19058.61867307693,0.5394230769230769,0.05323747538742154,76097.5,4051.2387832943105,0,NA
4437,0,0.8457545532136431,0.05339355602278878,0.041254873468956184,0.502559628909497,70017.00211238576,0.2719638761995602,0.40572073059871483,0.677684606798275,1391.5026058257079,27.352017512000423,4437,0,1,0,0,0,3.41e-18,327115900,735529118,1062645018,0.13595019659239843,1914.990306946688,NA,3421.3386960203215,3.2857142857142856,1295,1265,1372934.117647059,619556.470588235,186.167150364706,3950907.109869171,5708015.704802122,1757108.594932951,6.956114424392613,6.7949689164916265,7.500788384471624,12.817652535724712,13.26833742035608,0.0688502375989245,0.07127109908683181,0.0402906117957835,725,3.894349774273857,3.773293411554261e-18,12.649664456948829,831110582,476281.1358166189,2133,0.06794788678973614,4464324.561942502,11.457445611760187,3.773293411554261e-18,101429.76365960445,888395.197135648,3.072998689051465,180.34759025105367,451256.4620468505,88,562.4126361677951,114.17189555575372,909.6025280894733,1152.6109506773232,2.0494044346710645,0.7891670017146305,10095.399967450545,7966.956523422926,0,NA
